,country,gini10,dem_level4,dem_rank14,dem_score14,lifeex_f,lifeex_m,literacy,oil,pop_0_14,pop_15_64,pop_65_older,fertility,govregrel,regionun,religoin,spendeduc,spendhealth,spendmil,hdi,pop_age,sexratio,pop_total,pop_urban,gender_unequal,gender_unequal_rank,arda,lifeex_total,debt,colony,confidence,decent08,dem_other,dem_other5,democ,democ11,democ_regime,democ_regime08,district_size3,durable,effectiveness,enpp3_democ,enpp3_democ08,dnpp_3,eu,fhrate04_rev,fhrate08_rev,frac_eth,frac_eth2,frac_eth3,free_business,free_corrupt,free_finance,free_fiscal,free_govspend,free_invest,free_labor,free_monetary,free_property,free_trade,free_overall,free_overall_4,gdp08,gdp_10_thou,gdp_cap2,gdp_cap3,gdpcap2_08,gdpcap3_08,gdpcap08_2,gdppcap08,gdppcap08_3,gender_equal3,gini04,gini08,hi_gdp,indy,muslim,natcode,oecd,pmat12_3,polity,pr_sys,protact3,regime_type3,rich_democ,unions,unnetgro,unnetuse,unpovnpl,unremitp,unremitt,vi_rel3,votevap00s,votevap90s,women05,women09,women13,ipu_wom13_all,womyear,womyear2,dem_economist,democ.yes,country1
104,Mongolia,36.6,Part Democ,61,6.62,70.89,65.85,97.8,5975,27.3,68.7,4,2.21,4.722,Asia,Buddhist,5.1,3.5,NA,0.622,26.3,104.1,2.7,62,0.523,57,153,68.31,NA,Other,NA,Legislature is elected but executive is appointed,58.3,Approx 60%,Yes,10,Yes,Yes,single member,8,42.3167847,1-3 parties,1-3 parties,1,Not member,6,10,0.368200004,Low,Medium,69,30,60,81.9,56.7,50,75.9,66.5,30,79.8,60,MidHi,9.4,0.0457,Low,Low,Low,Mid,Low,3566,1,Low,44,32.8,Low GDP,1921,No,mongolia,Not member,NA,10,No,NA,NA,0,NA,1000,12.5,36.1,76,3.8,NA,60.47,88.65531158,6.8,4,14.9,14.9,1924,1944 or before,1,100,Mongolia
105,Montenegro,36.9,Hybrid,77,5.94,NA,NA,NA,0,15.5,71,13.5,NA,0,Europe,Orthodox Christian,NA,5.1,1.8,0.769,35.9,107.9,0.6,61.5,NA,NA,249,NA,38,NA,NA,NA,NA,NA,No,9,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,Mid,High,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,0,NA,Montenegro
106,Morocco,40.9,Authoritarian,116,4,79.11,72.84,52.3,4053,27.8,66.1,6.1,2.21,6.389,Africa,Muslim,5.7,1.7,3.4,0.567,26.2,103.7,32.4,58.2,0.693,104,155,75.9,58.2,France,NA,No local elections,10.5,10%,No,1,No,No,single member,35,48.22695036,NA,NA,3,Not member,3.5,5,0.484100014,High,Medium,76.1,35,60,68.5,81.5,60,21.7,78.4,40,71.2,59.2,MidLow,137,0.1218,Low,Middle,Low,Mid,Low,4388,2,NA,39.5,39.5,Low GDP,1956,Yes,morocco,Not member,NA,-4,Yes,NA,Dictatorship,0,4.800000191,5121,33,NA,218,7.8,>50%,NA,50.98933029,NA,NA,NA,17,1963,After 1944,0,0,Morocco
107,Mozambique,47.1,Hybrid,107,4.66,52.57,51.01,47.8,0,45.9,51.1,3,5.46,0,Africa,Catholic,5,3.5,0.8,0.284,17.9,101.3,23.4,38.4,0.718,111,156,51.78,40.8,Portugal,NA,Legislature is elected but executive is appointed,40.8,Approx 40%,No,5,No,No,6 or more members,6,36.87943271,NA,NA,1,Not member,4.5,8,0.693199992,High,High,58.7,26,50,77.6,76.1,50,42,74.9,30,74.5,56,MidLow,18.6,0.0195,Low,Low,Low,Low,Low,855,1,NA,39.6,47.3,Low GDP,1975,No,mozambique,Not member,NA,5,Yes,NA,Dictatorship,0,NA,1650,1.6,55.2,5,1.2,NA,35.56,66.43732452,NA,NA,NA,39.2,1975,After 1944,0,0,Mozambique
108,Namibia,74.3,Part Democ,73,6.24,51.89,52.48,85,0,34.2,61.7,4.1,2.49,0,Africa,Other Christian,6.5,3.2,3.5,0.606,21.1,101.3,2.2,38,0.615,75,157,52.19,20,Other,NA,NA,40.8,Approx 40%,No,6,Yes,No,NA,10,50.82742334,1-3 parties,NA,1,Not member,5.5,10,0.6329,High,High,73.3,45,40,68.3,69.5,50,87.2,71,30,87.8,62.2,MidHi,13.4,0.1463,Low,Middle,High,Mid,High,6343,2,Medium,70.7,74.3,Low GDP,1990,No,namibia,Not member,NA,6,Yes,NA,Presidential democ,0,22,278,5.3,NA,6,0.2,NA,80.23,62.99961472,25,26.9,NA,24.4,1989,After 1944,1,100,Namibia
109,Nepal,47.3,Hybrid,105,4.77,67.44,64.94,48.6,0,34.6,61.1,4.4,2.47,4.722,Asia,Other,3.8,2,2,0.428,21.6,105.2,29.9,18.6,0.716,110,159,66.16,NA,none,NA,Legislature and executive are locally elected,58.3,Approx 60%,Yes,6,Yes,Yes,single member,10,34.51536666,1-3 parties,1-3 parties,1,Not member,3,6,0.663200021,High,High,59.4,27,30,86.6,92.3,15,44.7,77.8,35,58.8,52.7,MidLow,31.8,0.023,Low,Low,Low,Low,Low,1112,1,NA,36.7,47.2,Low GDP,1768,No,nepal,Not member,NA,6,No,NA,Parliamentary democ,0,NA,898,1.7,30.9,95,21.6,NA,NA,83.32185364,5.9,33.2,33.2,33.2,1951,After 1944,0,100,Nepal
110,Netherlands,30.9,Full Democ,10,8.92,82.44,77.06,99,57190,17,67.4,15.6,1.66,0,Europe,Other,5.5,7.3,1.4,0.89,40.8,105.2,16.7,82.9,0.174,1,160,79.68,64.6,Spain,58.48101266,Legislature is elected but executive is appointed,100,100%,Yes,10,Yes,Yes,6 or more members,54,97.16312305,6-11 parties,6-11 parties,3,EU Member state,7,12,0.105400003,Low,Low,82.6,89,80,52,38.4,90,59.1,81,90,87.5,75,High,671.7,2.5886,High,High,High,High,High,40849,3,High,32.6,30.9,High GDP,1579,No,netherlands,OECD Member state,High post-mat,10,Yes,High,Parliamentary democ,1,21.79999924,106,87,NA,201,0.4,<20%,77.48,75.19999695,36.7,41.3,38.7,38.7,1919,1944 or before,1,100,Netherlands
111,New Zealand,36.2,Full Democ,4,9.26,82.67,78.61,99,61150,20.4,66.4,13.3,2.08,0,Australia/New Zealand/Oceania,Other Christian,6.2,7.1,1.1,0.907,36.6,105.8,4.3,86.2,0.32,25,163,80.59,25.5,UK,38.10596298,Legislature and executive are locally elected,58.3,Approx 60%,Yes,10,Yes,Yes,NA,123,93.14420871,6-11 parties,6-11 parties,3,Not member,7,12,0.396899998,Low,Medium,99.9,93,80,63.6,51.3,80,88.8,83.1,95,86,82.1,High,115.4,1.4872,High,High,High,High,High,27029,3,High,36.2,36.2,High GDP,1907,No,new zealand,OECD Member state,High post-mat,10,No,High,Parliamentary democ,1,23.20000076,64,71.4,NA,147,0.5,<20%,77.84,80.41553497,28.3,33.6,32.2,32.2,1893,1944 or before,1,100,New Zealand
112,Nicaragua,52.3,Hybrid,94,5.32,74.09,69.82,67.5,0,31.7,63.8,4.5,2.12,0,Latin America/Caribbean,Catholic,3.1,4.5,0.7,0.565,22,104.3,5.8,57.3,0.674,97,164,71.9,78,Spain,NA,Legislature and executive are locally elected,87.5,Approx 90%,Yes,9,Yes,Yes,>1 to 5 members,10,26.00472802,1-3 parties,1-3 parties,1,Not member,5,7,0.484400004,High,Medium,55.7,25,50,78.4,78.5,55,68.3,64.1,25,82.8,58.3,MidLow,15.2,0.0749,Low,Low,Low,Low,Low,2682,1,NA,55.1,43.1,Low GDP,1821,No,nicaragua,Not member,NA,9,Yes,NA,Presidential democ,0,23.39999962,270,3.3,45.8,144,12.4,NA,NA,75.80315399,20.7,18.5,40.2,40.2,1955,After 1944,0,100,Nicaragua
113,Niger,43.9,Hybrid,115,4.02,54.7,52.13,28.7,0,49.6,48,2.3,7.6,0.833,Africa,Muslim,3.7,2.8,NA,0.261,15,104.3,15.9,17.1,0.807,136,165,53.4,NA,France,NA,NA,40.8,Approx 40%,Yes,7,Yes,Yes,6 or more members,1,27.89598058,4-5 parties,4-5 parties,2,Not member,5,7,0.651799977,High,High,37.2,28,40,65.1,85.1,50,40.7,77.6,30,75.7,52.9,MidLow,10,0.019,Low,Low,Low,Low,Low,684,1,NA,50.5,50.5,Low GDP,1958,Yes,niger,Not member,NA,6,No,NA,NA,0,NA,1900,0.5,NA,5,1.5,NA,NA,41.47101974,12.4,12.4,13.3,13.3,1948,After 1944,0,100,Niger
114,Nigeria,42.9,Authoritarian,121,3.76,48.41,46.76,68,2211000,40.9,55.9,3.1,4.73,0.556,Africa,Muslim,NA,1.7,0.8,0.423,18.6,102.6,158.3,49.8,NA,NA,166,47.56,13.4,UK,59.35816953,No local elections,40.8,Approx 40%,Yes,4,Yes,Yes,single member,1,20.09456254,1-3 parties,1-3 parties,1,Not member,4,5,0.850499988,High,High,53.2,27,40,84.4,64.7,40,85.7,75.4,30,67.2,56.8,MidLow,315,0.0328,Low,Low,Low,Low,Low,2082,1,NA,50.6,43.7,Low GDP,1960,Yes,nigeria,Not member,Moderate post-mat,4,No,Moderate,Presidential democ,0,17.20000076,29878,15.9,NA,66,4.8,>50%,NA,27.7862606,4.7,7,6.7,6.7,1958,After 1944,0,100,Nigeria
115,Norway,25.8,Full Democ,1,9.93,83.02,77.53,100,2350000,18,66,16,1.77,0,Europe,Other Christian,6.7,7.5,1.3,0.938,38.9,105.4,4.9,79.4,0.234,5,170,80.2,47.7,none,66.45381101,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,6 or more members,54,90.07092277,6-11 parties,6-11 parties,3,Not member,7,12,0.058600001,Low,Low,88.8,79,60,50.5,49.8,65,47.1,74.2,90,89.2,69.4,High,277.3,4.1974,High,High,High,High,High,58138,3,High,25.8,25.8,High GDP,1905,No,norway,OECD Member state,Moderate post-mat,10,Yes,High,Parliamentary democ,1,51.70000076,228,82.5,NA,144,0.2,<20%,76.54,75.6831131,38.2,38.2,39.6,39.6,1907,1944 or before,1,100,Norway
116,Oman,NA,Authoritarian,139,3.15,76.16,72.38,81.4,816000,31.2,65.7,3.1,2.87,6.111,Asia,Muslim,4,1.9,7.7,NA,24.3,104.9,2.9,73,NA,NA,171,74.22,4.4,Portugal,NA,No local elections,10.5,10%,No,0,No,No,NA,43,62.8841607,NA,NA,NA,Not member,2.5,3,0.437299997,High,Medium,66.9,55,60,98.5,57.4,55,86.4,64.8,50,83.4,67.7,High,62,0.8002,High,High,NA,NA,NA,22478,3,NA,NA,NA,High GDP,1650,Yes,oman,Not member,NA,-8,No,NA,Dictatorship,0,NA,559,20,NA,16,0.1,NA,NA,NA,NA,NA,NA,1.2,NA,NA,0,0,Oman
117,Pakistan,31.2,Hybrid,108,4.64,67.9,64.18,49.9,59140,35.4,60.4,4.2,3.17,8.611,Asia,Muslim,2.9,0.8,2.6,0.49,21.3,105.8,184.8,35.9,0.721,112,172,65.99,49.9,UK,51.23872154,Legislature is elected but executive is appointed,58.3,Approx 60%,Yes,6,No,Yes,single member,1,34.75177305,NA,NA,NA,Not member,2.5,5,0.709800005,High,High,71.7,25,40,80.5,88.8,30,49.8,69.4,30,67,55.2,MidLow,439,0.0408,Low,Low,Low,Low,Low,2644,1,Low,33,30.6,Low GDP,1947,Yes,pakistan,Not member,Low post-mat,6,No,Low,Dictatorship,0,5.5,NA,11.1,NA,42,4.3,>50%,NA,39.78059387,NA,NA,22.5,22.5,1947,After 1944,0,0,Pakistan
118,Palestine,NA,Hybrid,106,4.72,NA,NA,NA,NA,NA,NA,NA,NA,2.5,Asia,Muslim,NA,NA,NA,NA,17.6,104.5,4.4,74.1,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,922,9,NA,160,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Palestine
119,Panama,54.9,Part Democ,47,7.08,80.68,75.02,91.9,0,28.6,64.2,7.2,2.45,0.556,Latin America/Caribbean,Catholic,3.8,4.3,0,0.755,27.3,104.5,3.5,74.8,0.634,81,174,77.79,40,Spain,NA,Legislature is elected but executive is appointed,87.5,Approx 90%,Yes,9,Yes,Yes,>1 to 5 members,11,43.26241133,6-11 parties,6-11 parties,3,Not member,6.5,11,0.5528,High,Medium,75.9,34,70,82.6,90,65,41.3,73.2,40,75.8,64.8,MidHi,42.4,0.4182,High,High,High,Mid,High,12504,2,Medium,56.4,56.1,High GDP,1903,No,panama canal zone,Not member,NA,9,No,NA,Presidential democ,1,14.19999981,383,27.5,36.8,58,0.9,NA,79.66,70.14457703,16.7,8.5,8.5,8.5,1941,1944 or before,1,100,Panama
120,Papua New Guinea,50.9,Part Democ,75,6.03,68.56,64.02,57.3,35090,36.4,60,3.6,3.46,0,Australia/New Zealand/Oceania,Other Christian,NA,2.6,0.4,0.431,20,107.8,6.9,12.5,0.784,133,175,66.24,27.8,Other,NA,Legislature and executive are locally elected,58.3,Approx 60%,Yes,4,Yes,Yes,single member,25,28.13238838,6-11 parties,6-11 parties,3,Not member,5,7,0.271800011,Low,Medium,59.1,20,30,65,63.3,35,83.3,72.6,20,86.2,53.5,MidLow,14.2,0.0523,Low,Low,Low,Low,Low,2208,1,NA,50.9,50.9,Low GDP,1975,No,papua new guinea,Not member,NA,4,No,NA,Parliamentary democ,0,NA,167,1.8,NA,2,0.2,NA,NA,84.89698792,0.9,0.9,2.7,2.7,1964,After 1944,1,100,Papua New Guinea
121,Paraguay,53.2,Part Democ,71,6.26,78.93,73.59,94,30.96,28.5,65.4,6.1,2.11,2.222,Latin America/Caribbean,Catholic,4,2.4,0.8,0.64,23.1,103.9,6.5,61.5,0.643,85,176,76.19,22.8,Spain,NA,NA,87.5,Approx 90%,Yes,9,No,Yes,>1 to 5 members,8,16.07565102,NA,1-3 parties,1,Not member,5,8,0.168899998,Low,Low,60.9,24,60,96.6,91.7,65,26.1,75.4,30,83.5,61.3,MidHi,29.3,0.1,Low,Middle,Low,Mid,Low,4709,2,Low,56.8,58.4,Low GDP,1811,No,paraguay,Not member,NA,8,Yes,NA,Dictatorship,0,9.300000191,2136,14.3,NA,81,3.1,NA,49.86,49.40145493,NA,NA,12.5,12.5,1961,After 1944,1,0,Paraguay
122,Peru,50.5,Part Democ,63,6.54,74.48,70.55,92.9,157200,28.5,65.1,6.4,2.32,0,Latin America/Caribbean,Catholic,2.7,2.5,1.1,0.723,25.6,104.2,29.5,76.9,0.614,74,177,72.47,23.9,Spain,6.49494562,Legislature is elected but executive is appointed,87.5,Approx 90%,Yes,9,No,Yes,6 or more members,0,35.46099294,NA,6-11 parties,3,Not member,5.5,9,0.656599998,High,High,65.8,36,60,79.5,92.3,70,66.1,81.6,40,85,67.6,High,245.3,0.2113,High,Middle,High,Mid,High,8507,2,Medium,49.8,52,High GDP,1821,No,peru,Not member,Moderate post-mat,9,Yes,Low,Dictatorship,0,7.5,791,24.7,51.6,85,1.9,>50%,84.09,62.49277115,NA,NA,21.5,21.5,1955,After 1944,1,0,Peru
123,Philippines,44,Part Democ,53,6.77,74.74,68.72,92.6,9671,34.6,61.1,4.3,3.19,0,Asia,Catholic,2.6,1.3,0.8,0.638,23.2,105,93.6,48.9,0.623,78,178,71.66,56.5,Spain,63.30524009,Legislature and executive are locally elected,58.3,Approx 60%,Yes,8,Yes,Yes,single member,13,45.15366433,4-5 parties,4-5 parties,2,Not member,5.5,7,0.238499999,Low,Low,48.1,23,50,78.8,91.2,40,51.9,72.7,30,77.8,56.3,MidLow,317.1,0.0975,Low,Middle,Low,Low,Low,3510,1,Medium,46.1,44.5,Low GDP,1946,No,philippines,Not member,Moderate post-mat,8,No,Low,Presidential democ,0,22.79999924,265,6.2,NA,206,11.2,>50%,NA,67.28295898,15.3,20.5,22.9,22.9,1937,1944 or before,1,100,Philippines
124,Poland,34.9,Part Democ,40,7.47,80.25,72.1,99.8,34140,14.7,71.6,13.7,1.3,0,Europe,Catholic,4.9,4.6,2,0.795,38.2,105.7,38,61,0.325,26,180,76.05,53.6,Soviet Union,65.60574135,Legislature and executive are locally elected,63,Approx 60%,Yes,10,Yes,Yes,6 or more members,9,60.99290814,4-5 parties,4-5 parties,2,EU Member state,7,12,0.118299998,Low,Low,62.2,46,60,74.9,46.8,60,61.5,78.1,55,87.5,63.2,MidHi,671.9,0.4894,High,High,High,High,High,17625,3,Medium,31.6,34.5,High GDP,1991,No,poland,OECD Member state,Moderate post-mat,10,Yes,Low,NA,1,27,567,49,14.8,274,2,20-50%,54.24,56.75255585,20.2,20.2,23.7,23.7,1918,1944 or before,1,100,Poland
125,Portugal,38.5,Part Democ,33,7.79,82.01,75.28,93.3,4721,16.2,65.8,18,1.5,0,Europe,Catholic,5.3,7.1,2,0.795,41,106,10.7,60.7,0.31,21,181,78.54,83.2,Portugal,37.36488199,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,6 or more members,24,70.92198514,4-5 parties,4-5 parties,2,EU Member state,7,12,0.046799999,Low,Low,80.5,61,60,61,37.1,70,37,79.7,70,87.5,64.4,MidHi,245.1,1.1948,High,High,High,High,High,23074,3,High,38.5,38.5,High GDP,1143,No,portugal,OECD Member state,Moderate post-mat,10,Yes,Moderate,NA,1,18.79999924,168,42.1,NA,382,1.7,20-50%,69.23,75.97377014,19.5,19.5,28.7,28.7,1931,1944 or before,1,100,Portugal
126,Qatar,41.1,Authoritarian,136,3.18,77.53,73.96,89,1213000,21.8,76.7,1.5,2.43,5.278,Asia,Muslim,3.3,2.9,NA,0.803,30.1,105.4,1.5,95.8,0.671,94,183,75.7,10.3,UK,NA,Legislature is elected but executive is appointed,10.5,10%,No,0,No,No,NA,29,62.8841607,NA,NA,NA,Not member,2.5,3,0.745599985,High,High,73.7,65,50,99.9,73.7,45,69.1,65.9,65,82.2,69,High,94.2,2.8634,High,High,NA,NA,NA,85868,3,NA,NA,NA,High GDP,1971,Yes,qatar,Not member,NA,-10,No,NA,Dictatorship,0,NA,1353,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,Qatar
127,Romania,32.1,Part Democ,57,6.68,77.66,70.5,97.3,117000,14.8,70.4,14.8,1.29,5.278,Europe,Orthodox Christian,4.4,3.8,1.5,0.767,38.5,105.9,21.2,57.5,0.478,49,185,73.98,34.8,Soviet Union,26.88468267,Legislature and executive are locally elected,63,Approx 60%,Yes,9,Yes,Yes,6 or more members,4,38.77068527,6-11 parties,6-11 parties,3,Not member,5.5,10,0.306899995,Low,Medium,72.5,38,50,85.8,59.8,75,60.4,73.3,40,87.5,64.2,MidHi,302.6,0.2052,High,Middle,High,High,High,14065,3,Low,30.3,31,High GDP,1991,No,romania,Not member,Moderate post-mat,9,Yes,Low,NA,1,40.70000076,679,28.8,28.9,436,4.7,20-50%,62.26,77.67498016,11.4,11.4,13.3,13.3,1929,1944 or before,1,100,Romania
128,Russia,43.7,Authoritarian,132,3.39,73.17,59.8,99.4,10120000,15.2,71.8,13,1.42,3.889,Europe,Orthodox Christian,3.9,3.5,3.5,0.719,38.1,105.5,140.4,73.2,0.442,41,186,66.29,9.5,Soviet Union,41.14535378,NA,63,Approx 60%,No,5,Yes,No,NA,0,37.1158391,6-11 parties,NA,3,Not member,2.5,3,0.245199993,Low,Low,52.2,21,40,82.3,66.5,25,59.6,62.6,25,68.4,50.3,Low,2300,0.2405,High,Middle,High,High,High,16139,3,Low,45.6,39.9,High GDP,1991,No,russian federation,Not member,Low post-mat,4,No,Moderate,NA,1,74.80000305,1450,31.9,19.6,43,0.4,<20%,NA,63.2844162,9.8,14,NA,13.6,1918,1944 or before,0,100,Russia
129,Rwanda,46.7,Authoritarian,135,3.25,59.52,56.57,70.4,0,42.9,54.7,2.4,4.9,5.556,Africa,Catholic,4.1,4.9,1.5,0.385,18.7,98.9,10.3,18.9,0.638,83,187,58.02,NA,Belgium,NA,Legislature is elected but executive is appointed,40.8,Approx 40%,No,0,No,No,single member,6,27.1867614,NA,NA,NA,Not member,2.5,3,0.323799998,Low,Medium,74.5,30,40,77.1,75.6,40,89.2,66.9,30,67.4,59.1,MidLow,9.9,0.0212,Low,Low,Low,Low,Low,1022,1,NA,28.9,46.8,Low GDP,1962,No,rwanda,Not member,NA,-4,Yes,NA,Dictatorship,0,NA,5900,3.1,56.9,7,1.5,NA,NA,NA,NA,NA,NA,56.3,1961,After 1944,0,0,Rwanda
130,Saudi Arabia,NA,Authoritarian,161,1.82,76.16,72.15,78.8,9764000,29.4,67.6,3,2.31,9.444,Asia,Muslim,5.7,2.7,8.2,0.752,24.6,102.1,26.2,82.1,0.76,128,196,74.11,16.7,UK,NA,No local elections,10.5,10%,No,0,No,No,NA,74,45.3900709,NA,NA,NA,Not member,1,1,0.180000007,Low,Low,84.6,35,50,99.6,68.1,45,74.4,62.3,40,82.5,64.1,MidHi,589.5,0.8612,High,High,High,High,High,23920,3,Low,NA,NA,High GDP,1932,Yes,saudi arabia,Not member,NA,-10,No,NA,Dictatorship,0,NA,1612,31.5,NA,9,0,NA,NA,NA,NA,NA,NA,19.9,NA,NA,0,0,Saudi Arabia
131,Senegal,39.2,Part Democ,74,6.15,61.77,57.85,39.3,0,43.3,53.9,2.9,4.78,0,Africa,Muslim,5.1,3.2,1.6,0.411,18,102.3,12.9,42.4,0.727,113,197,59.78,32.1,France,NA,No local elections,40.8,Approx 40%,Yes,7,Yes,Yes,>1 to 5 members,0,42.3167847,1-3 parties,1-3 parties,1,Not member,5.5,8,0.693899989,High,High,63.1,34,40,64.7,77.8,35,41.9,75.2,45,69.7,54.6,MidLow,21.6,0.0503,Low,Low,Low,Low,Low,1772,1,NA,41.3,41.3,Low GDP,1960,Yes,senegal,Not member,NA,7,No,NA,NA,0,21.89999962,2450,8.4,NA,105,9.7,NA,27.59,24.19211769,19.2,22,42.7,42.7,1945,After 1944,1,100,Senegal
132,Serbia,28.2,Part Democ,56,6.71,77.34,71.49,96.4,11400,15.1,68.5,16.5,1.4,6.111,Europe,Orthodox Christian,4.5,6.1,2.4,0.735,37.6,107.8,9.9,56.1,NA,NA,248,74.32,41.5,NA,NA,NA,NA,NA,Yes,9,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,Mid,High,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,44.9,NA,753,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Serbia
133,Sierra Leone,42.5,Hybrid,109,4.56,58.65,53.69,35.1,28.98,41.8,54.5,3.7,4.94,0,Africa,Muslim,3.8,1.4,2.4,0.317,18.2,100.7,5.8,38.4,0.756,125,200,56.13,NA,UK,NA,No local elections,40.8,Approx 40%,Yes,8,Yes,Yes,NA,0,10.16548554,6-11 parties,6-11 parties,3,Not member,4.5,8,0.819100022,High,High,54.6,19,20,80.9,80.5,40,39,71.7,10,62.8,47.9,Low,4.3,0.015,Low,Low,Low,Low,Low,766,1,NA,62.9,62.9,Low GDP,1961,Yes,sierra leone,Not member,NA,7,Yes,NA,Presidential democ,0,NA,178,0.3,70.2,27,7.7,NA,68.98,38.18625259,14.5,13.2,12.4,12.4,1961,After 1944,0,100,Sierra Leone
134,Singapore,42.5,Part Democ,75,6.03,84.96,79.53,92.5,10910,13.8,77,9.2,1.11,7.222,Asia,Buddhist,2.8,1,4.1,0.846,40.6,107.3,4.8,100,0.255,10,201,82.14,102.4,Other,NA,No local elections,58.3,Approx 60%,No,2,No,No,>1 to 5 members,35,99.99999977,NA,NA,1,Not member,3.5,5,0.385699987,Low,Medium,98.2,92,50,90.7,95.3,75,98.9,80.9,90,90,86.1,High,238.5,2.0886,High,High,High,High,High,49284,3,High,42.5,42.5,High GDP,1965,No,singapore,Not member,NA,-2,No,NA,Dictatorship,0,13.5,148,69.6,NA,NA,NA,NA,NA,54.18393326,NA,NA,NA,24.2,1947,After 1944,1,0,Singapore
135,Slovakia,25.8,Part Democ,45,7.35,79.93,71.92,99.6,4114,15.6,71.6,12.8,1.37,0.556,Europe,Catholic,3.6,5.2,1.5,0.818,37.2,105.5,5.4,55,0.352,31,202,75.83,41,Soviet Union,25.26916921,Legislature and executive are locally elected,63,Approx 60%,Yes,NA,Yes,Yes,6 or more members,7,56.02836894,6-11 parties,6-11 parties,3,EU Member state,7,12,0.253899992,Low,Low,72.6,50,70,84,64.5,70,65.1,78.2,55,87.5,69.7,High,119.4,0.4403,High,High,High,High,High,22081,3,High,25.8,25.8,High GDP,1991,No,slovakia,OECD Member state,Low post-mat,NA,Yes,Moderate,Parliamentary democ,1,52.29999924,604,66,16.8,365,2,20-50%,56.4,84.25341034,16.7,19.3,18.7,18.7,1920,1944 or before,1,100,Slovakia
136,Slovenia,31.2,Part Democ,37,7.57,81.2,73.64,NA,5,13.4,69.8,16.8,1.3,0,Europe,Catholic,5.2,5.6,1.5,0.828,41.7,105.3,2,49.5,0.293,17,203,77.3,35.5,Soviet Union,39.85595668,NA,63,Approx 60%,Yes,10,Yes,Yes,NA,9,65.95744664,NA,NA,NA,EU Member state,7,12,0.221599996,Low,Low,83.3,67,50,64,46.1,70,43.5,76,60,87.5,64.7,MidHi,56.3,1.1181,High,High,High,High,High,27605,3,Medium,28.4,28.4,High GDP,1991,No,slovenia,Not member,Moderate post-mat,10,Yes,Low,Parliamentary democ,1,NA,275,55.7,NA,170,0.6,<20%,65.04,76.1039505,12.2,13.3,32.2,32.2,1945,After 1944,1,100,Slovenia
137,South Africa,57.8,Part Democ,30,7.82,48.39,50.24,86.4,191000,28.5,65.8,5.7,2.3,0,Africa,Other Christian,5.1,3.6,1.3,0.597,24.9,101.6,50.5,61.7,0.635,82,207,49.33,33.2,UK,66.40086872,Legislature and executive are locally elected,40.8,Approx 40%,No,9,Yes,No,NA,6,58.86524778,4-5 parties,NA,2,Not member,6.5,10,0.751699984,High,High,73,49,60,69.1,76.8,45,59,70.2,50,76,62.8,MidHi,492.2,0.2299,High,Middle,High,Mid,High,10109,2,NA,59.3,57.8,High GDP,1910,No,south africa,Not member,Low post-mat,9,Yes,Moderate,Parliamentary democ,1,21.79999924,75,8.6,22,17,0.3,>50%,56.77,85.53007507,32.8,44.5,NA,42.3,1930,1944 or before,1,100,South Africa
138,Spain,34.7,Full Democ,22,8.05,84.37,78.16,97.9,27230,15.1,67.7,17.1,1.47,0.833,Europe,Catholic,4.4,6.1,1.2,0.863,40.2,106.4,45.3,77.4,0.28,14,208,81.17,63.4,Spain,42.2742583,Legislature and executive are locally elected,100,100%,Yes,10,Yes,Yes,6 or more members,22,82.74231611,1-3 parties,1-3 parties,1,EU Member state,7,12,0.416500002,Low,Medium,75.8,65,80,58.1,54.8,80,47.3,77.7,70,87.5,69.6,High,1500,1.5961,High,High,High,High,High,31954,3,High,32.5,34.7,High GDP,1492,No,spain,OECD Member state,High post-mat,10,Yes,Moderate,Parliamentary democ,1,11.39999962,349,55.4,NA,258,0.7,20-50%,77.2,78.99748993,36,36.3,36,36,1931,1944 or before,1,100,Spain
